               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                 139,             0.77118,              1.2754,              1.1112,             0.53996,             0.66949,             0.64049,             0.59716,                   0,                   0,                   0,            0.008907,            0.008907,            0.008907
                 140,             0.73601,              1.2402,              1.1055,             0.55956,             0.68933,              0.6505,             0.60754,                   0,                   0,                   0,           0.0088991,           0.0088991,           0.0088991
                 141,             0.75907,              1.2573,              1.1134,             0.56112,             0.66887,              0.6464,               0.601,                   0,                   0,                   0,           0.0088912,           0.0088912,           0.0088912
                 142,             0.75947,              1.2613,              1.1103,             0.56422,             0.66909,              0.6251,             0.58563,                   0,                   0,                   0,           0.0088833,           0.0088833,           0.0088833
                 143,             0.77082,              1.2664,              1.1078,             0.57523,              0.6139,              0.6364,             0.59073,                   0,                   0,                   0,           0.0088754,           0.0088754,           0.0088754
                 144,             0.75206,               1.255,              1.1072,             0.56325,             0.66453,             0.65955,             0.62135,                   0,                   0,                   0,           0.0088674,           0.0088674,           0.0088674
                 145,             0.75902,              1.2895,               1.102,             0.59655,             0.68547,             0.65997,              0.6141,                   0,                   0,                   0,           0.0088595,           0.0088595,           0.0088595
                 146,             0.73621,               1.234,               1.096,             0.57503,             0.61219,             0.63863,             0.59537,                   0,                   0,                   0,           0.0088516,           0.0088516,           0.0088516
                 147,             0.75266,              1.2562,              1.1041,             0.56897,             0.68161,             0.66466,             0.62147,                   0,                   0,                   0,           0.0088437,           0.0088437,           0.0088437
                 148,             0.76696,              1.2633,              1.1157,             0.60133,             0.67934,             0.67278,             0.63047,                   0,                   0,                   0,           0.0088358,           0.0088358,           0.0088358
                 149,             0.74939,              1.2516,              1.1044,             0.58533,             0.64082,             0.65993,             0.61601,                   0,                   0,                   0,           0.0088278,           0.0088278,           0.0088278
                 150,             0.77142,              1.2625,              1.1064,             0.63361,             0.62705,             0.67798,             0.63459,                   0,                   0,                   0,           0.0088199,           0.0088199,           0.0088199
                 151,             0.75025,               1.245,              1.0994,             0.62754,             0.62617,             0.65479,               0.611,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                 152,             0.74586,              1.2137,              1.1085,              0.5949,             0.64652,              0.6548,             0.60919,                   0,                   0,                   0,           0.0088041,           0.0088041,           0.0088041
