                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.49422,                0.56312,                0.94431,                0.85609,                0.53011,                0.62433,                0.60465,                0.54934,                0.53463,                0.63021,                0.61076,                0.45555,                0.43008,                0.50985,                 1.0316,                0.85249,             0.00089938,             0.00089938,             0.00089938
                     87,                0.48545,                0.56676,                0.94846,                0.85367,                0.52136,                0.63884,                0.59223,                0.54107,                0.52682,                0.64368,                0.60008,                 0.4349,                0.43705,                0.55963,                 1.0446,                0.84834,             0.00089525,             0.00089525,             0.00089525
                     88,                0.47678,                0.55233,                0.94151,                0.85313,                0.54439,                0.62654,                0.61246,                0.56531,                0.54709,                0.63014,                0.61698,                0.47356,                0.41952,                0.49133,                 1.0237,                0.85035,             0.00089112,             0.00089112,             0.00089112
                     89,                0.47727,                0.55726,                0.94365,                0.85029,                0.53887,                 0.6457,                0.60581,                0.56119,                0.54143,                0.65126,                0.61281,                0.45952,                0.40066,                0.49397,                 1.0069,                0.84072,               0.000887,               0.000887,               0.000887
                     90,                0.46536,                0.54487,                0.90748,                0.84277,                0.50819,                0.62432,                0.56731,                0.51611,                0.50804,                0.63487,                 0.5737,                0.43936,                0.44815,                0.54605,                 1.0974,                0.85425,             0.00088288,             0.00088288,             0.00088288
                     91,                0.46323,                0.56221,                0.92835,                0.84884,                0.57039,                0.63101,                0.62493,                 0.5803,                0.57473,                  0.636,                0.63176,                 0.4723,                 0.4045,                0.51481,                0.97212,                0.84046,             0.00087875,             0.00087875,             0.00087875
                     92,                0.48272,                0.57229,                0.90211,                0.85753,                0.57089,                0.66138,                0.62833,                0.58643,                0.57527,                0.66712,                0.63651,                0.48446,                0.39298,                 0.5078,                 1.0095,                0.83997,             0.00087462,             0.00087462,             0.00087462
                     93,                0.46947,                0.56394,                0.88502,                0.84878,                0.54537,                0.61945,                0.59052,                 0.5463,                0.55226,                0.61782,                0.59653,                0.45028,                0.39923,                0.51003,                 1.0052,                0.84122,              0.0008705,              0.0008705,              0.0008705
                     94,                0.45049,                0.54711,                  0.924,                0.85803,                0.54113,                0.63041,                0.58636,                0.54259,                0.54374,                0.63238,                0.59221,                 0.4427,                0.39879,                0.50076,                 1.0521,                 0.8425,             0.00086637,             0.00086637,             0.00086637
                     95,                0.46113,                0.53635,                0.93566,                0.85131,                0.52105,                0.65669,                0.59808,                 0.5532,                0.52352,                0.66028,                0.60514,                 0.4541,                0.39154,                0.52636,                 1.0465,                0.83511,             0.00086225,             0.00086225,             0.00086225
                     96,                0.47965,                0.54176,                0.92195,                0.85724,                0.53851,                0.63928,                0.60721,                0.56228,                0.54218,                0.64287,                0.61362,                0.45893,                0.40101,                0.48733,                 1.0112,                0.84412,             0.00085813,             0.00085813,             0.00085813
                     97,                0.45397,                0.55523,                0.87102,                0.85112,                 0.5773,                  0.645,                0.62801,                 0.5835,                 0.5799,                 0.6477,                0.63393,                0.47663,                0.39147,                 0.4898,                0.97584,                0.84239,               0.000854,               0.000854,               0.000854
                     98,                0.46383,                0.56388,                0.90301,                0.84946,                0.57371,                0.68312,                 0.6438,                0.60195,                0.57761,                0.68493,                 0.6505,                0.49096,                0.38013,                0.51978,                 0.9615,                0.83312,             0.00084988,             0.00084988,             0.00084988
                     99,                0.46639,                 0.5551,                0.85287,                0.84441,                0.52972,                0.66321,                0.61209,                0.56849,                0.53641,                0.67322,                0.62112,                 0.4738,                0.40809,                0.48596,                 1.0061,                0.84044,             0.00084575,             0.00084575,             0.00084575
                    100,                0.47015,                0.54354,                0.87402,                0.85313,                 0.5767,                0.58132,                0.60097,                0.55156,                 0.5783,                0.58312,                0.60701,                0.44579,                0.41776,                0.53098,                 1.0302,                0.84742,             0.00084162,             0.00084162,             0.00084162
                    101,                0.45506,                0.52779,                0.85355,                0.84949,                0.61541,                0.59031,                0.62757,                0.58366,                0.61695,                0.59476,                 0.6333,                0.48524,                0.37782,                0.49533,                 1.0089,                0.83523,              0.0008375,              0.0008375,              0.0008375
                    102,                0.45314,                0.54258,                0.88743,                0.83848,                0.58117,                0.67799,                0.65521,                0.60809,                0.58719,                 0.6828,                0.66218,                0.49516,                0.37861,                0.50388,                0.90931,                0.83582,             0.00083337,             0.00083337,             0.00083337
                    103,                0.43787,                0.54358,                0.84075,                0.83675,                0.62221,                0.60184,                 0.6433,                0.60106,                0.62635,                0.60593,                0.64994,                 0.4864,                0.37797,                 0.5043,                0.93703,                0.83631,             0.00082925,             0.00082925,             0.00082925
                    104,                0.43444,                0.52915,                0.85838,                0.83799,                0.54821,                0.64875,                0.62493,                0.57837,                0.54966,                0.65055,                0.63081,                0.48377,                0.41211,                0.50978,                 0.9662,                0.84393,             0.00082513,             0.00082513,             0.00082513
